,Edge_start,Edge_end,Capacity
991,71860o,62802i,10
992,81604o,81679i,10
993,64899o,33506i,10
994,33506o,62802i,10
995,58651o,60103i,10
996,9233o,10900i,10
997,65003o,65029i,10
998,83105o,83261i,10
999,19174o,32201i,10
1000,34165o,48959i,10
1001,45476o,45906i,10
1002,26146o,26211i,10
1003,24000o,24802i,10
1004,56697o,56713i,10
1005,5108o,4408i,10
1006,261251i,261251o,10
1007,264970i,264970o,10
1008,32201o,32433i,10
1009,4705o,5108i,10
1010,7534o,7500i,10
1011,20743o,20719i,10
1012,279919o,24000i,10
1013,48181i,48181o,10
1014,78535o,265251i,10
1015,20909i,20909o,10
1016,24133o,24158i,10
1017,83584o,83725i,10
1018,44420i,44420o,10
1019,14407o,14704i,10
1020,44420o,44305i,10
1021,258468o,66142i,10
1022,10405o,9209i,10
1023,53280o,42200i,10
1024,60335o,60400i,10
1025,83725o,83600i,10
1026,16717o,18374i,10
1027,4705i,4705o,10
1028,50948o,50807i,10
1029,66407o,66449i,10
1030,3509i,3509o,10
1031,75424o,62653i,10
1032,69823o,73312i,10
1033,7112o,7302i,10
1034,33563o,34868i,10
1035,10405o,12609i,10
1036,73106i,73106o,10
1037,71407i,71407o,10
1038,83261o,84400i,10
1039,37507o,36343i,10
1040,67066i,67066o,10
1041,258708o,78345i,10
1042,32524o,32540i,10
1043,50609o,40030i,10
1044,66134o,66142i,10
1045,81265o,81232i,10
1046,76000o,75507i,10
1047,40998i,40998o,10
1048,46565o,251561i,10
1049,262835i,262835o,10
1050,63073o,62653i,10
1051,24638o,24539i,10
1052,54528i,54528o,10
1053,38653o,36103i,10
1054,82487o,82446i,10
1055,46409o,47704i,10
1056,84434i,84434o,10
1057,19190o,19174i,10
1058,11809o,12252i,10
1059,24133i,24133o,10
1060,36939o,21808i,10
1061,1560o,1024i,10
1062,56606o,56697i,10
1063,80630o,79806i,10
1064,34603o,36103i,10
1065,73312o,69823i,10
1066,77701o,80416i,10
1067,55103i,55103o,10
1068,79020o,78907i,10
1069,7500o,7112i,10
1070,81232i,81232o,10
1071,4101o,3905i,10
1072,56606i,56606o,10
1073,36459o,36707i,10
1074,83220o,83246i,10
1075,77107o,80416i,10
1076,3467o,3509i,10
1077,34165o,36103i,10
1078,46706o,46789i,10
1079,39404o,233222i,10
1080,21501o,21600i,10
1081,3905o,4408i,10
1082,15602i,15602o,10
1083,17202o,18408i,10
1084,4408i,4408o,10
1085,60400o,60335i,10
1086,83535o,83501i,10
1087,19174i,19174o,10
1088,80416o,77107i,10
1089,68882o,67009i,10
1090,50666o,50484i,10
1091,83220o,83022i,10
1092,19794o,19901i,10
1093,24539i,24539o,10
1094,60400o,42200i,10
1095,14548o,14407i,10
1096,69708o,61705i,10
1097,260653o,14308i,10
1098,49205i,49205o,10
1099,54551o,55806i,10
1100,29181o,29108i,10
1101,83501o,83535i,10
1102,56523i,56523o,10
1103,44842o,45906i,10
1104,38653o,36343i,10
1105,49809i,49809o,10
1106,84400o,84434i,10
1107,36509o,38653i,10
1108,7112o,8607i,10
1109,73908o,73502i,10
1110,50500o,50484i,10
1111,82032i,82032o,10
1112,26708o,26104i,10
1113,32904o,32201i,10
1114,179223i,179223o,10
1115,78980o,78907i,10
1116,46649o,46581i,10
1117,16188i,16188o,10
1118,10900o,10934i,10
1119,76000i,76000o,10
1120,16717o,19844i,10
1121,4705o,5256i,10
1122,64808o,75309i,10
1123,13334o,13417i,10
1124,5900o,5256i,10
1125,65003o,66407i,10
1126,4408o,4101i,10
1127,39909i,39909o,10
1128,66142i,66142o,10
1129,12369o,10827i,10
1130,18705o,19703i,10
1131,46565o,46706i,10
1132,16402i,16402o,10
1133,60608o,67009i,10
1134,19844o,16717i,10
1135,74633o,74583i,10
1136,47258o,47605i,10
